Address,Street Number,Street Direction,Street Name,Street Type,Zip Code,Lat,Lot,HT Score,Nearest Transit,Distance to Nearest Transity,Density 2010,Density 2012
5257 S MARSHFIELD AVE chicago IL 60609,5257,S,MARSHFIELD,AVE,60609,41.79843298,-87.66591684,37.23,Western-Orange,1.37,7.96,9.02
4353 S WELLS ST chicago IL 60609,4353,S,WELLS,ST,60609,41.8151738,-87.63233345,34.21,47th-Red,0.46,8.41,9.3
3900 S STATE ST chicago IL 60609,3900,S,STATE,ST,60609,41.82371376,-87.62642225,28.05,Indiana,0.39,12.54,12.13
5317 S EMERALD AVE chicago IL 60609,5317,S,EMERALD,AVE,60609,41.7976538,-87.64402663,39.03,Garfield-Red,0.91,5.8,6.08
5319 S EMERALD AVE chicago IL 60609,5319,S,EMERALD,AVE,60609,41.79761729,-87.64402556,39.11,Garfield-Red,0.91,5.8,6.08
725 W 54TH PL chicago IL 60609,725,W,54TH,PL,60609,41.79524284,-87.64336645,40.35,Garfield-Red,0.84,5.67,6.41
4644 S ST LAWRENCE AVE chicago IL 60653,4644,S,ST LAWRENCE,AVE,60653,41.81019644,-87.6114732,40.7,47th-Green,0.52,14.94,12.56
733 W 47TH PL chicago IL 60609,733,W,47TH,PL,60609,41.8079807,-87.6438948,40.78,47th-Red,0.92,7.8,7.39
5426 S DEARBORN ST chicago IL 60609,5426,S,DEARBORN,ST,60609,41.79592368,-87.62683391,28.37,Garfield-Red,0.3,7.47,7.11
5430 S DEARBORN ST chicago IL 60609,5430,S,DEARBORN,ST,60609,41.79585287,-87.62683138,28.69,Garfield-Red,0.3,7.48,7.12
4605 S LANGLEY AVE chicago IL 60653,4605,S,LANGLEY,AVE,60653,41.81122799,-87.60902403,36.72,47th-Green,0.7,15.83,12.18
3519 S WINCHESTER AVE chicago IL 60609,3519,S,WINCHESTER,AVE,60609,41.83005358,-87.67405296,34.91,35th/Archer,0.46,11.88,11.73
5439 S MORGAN ST chicago IL 60609,5439,S,MORGAN,ST,60609,41.79492056,-87.65003562,39.89,Garfield-Red,1.31,6.43,7.53
3659 S UNION AVE chicago IL 60609,3659,S,UNION,AVE,60609,41.82786944,-87.64359447,40.33,Sox-35th,0.95,11.7,11.46
5257 S EMERALD AVE chicago IL 60609,5257,S,EMERALD,AVE,60609,41.79873684,-87.64405133,36.44,Garfield-Red,0.94,5.88,5.97
4331 S INDIANA AVE chicago IL 60653,4331,S,INDIANA,AVE,60653,41.81599638,-87.62139207,40.16,43rd,0.17,12.27,12.52
5344 S PAULINA ST chicago IL 60609,5344,S,PAULINA,ST,60609,41.79683854,-87.66709084,37.68,Western-Orange,1.37,7.7,8.96
3639 S MICHIGAN AVE chicago IL 60653,3639,S,MICHIGAN,AVE,60653,41.82861269,-87.62319564,25.17,35-Bronzeville-IIT,0.34,15.82,15.09
4125 S INDIANA AVE chicago IL 60653,4125,S,INDIANA,AVE,60653,41.81971434,-87.62149432,33.29,Indiana,0.19,13.65,12.15
4561 S WABASH AVE chicago IL 60653,4561,S,WABASH,AVE,60653,41.81184359,-87.62453033,40.18,47th-Green,0.46,10.83,11.34
4321 S HONORE ST chicago IL 60609,4321,S,HONORE,ST,60609,41.81543423,-87.67122256,32.92,Western-Orange,1.34,17.36,18.18
4925 S LOOMIS BLVD chicago IL 60609,4925,S,LOOMIS,BLVD,60609,41.80429256,-87.65999125,38.47,Western-Orange,1.66,8.6,9.07
4356 S PRINCETON AVE chicago IL 60609,4356,S,PRINCETON,AVE,60609,41.81511897,-87.63353491,34.79,47th-Red,0.48,7.93,8.9
4527 S INDIANA AVE chicago IL 60653,4527,S,INDIANA,AVE,60653,41.81245886,-87.62129683,43.56,47th-Green,0.35,11.69,11.48
4200 S ELLIS AVE chicago IL 60653,4200,S,ELLIS,AVE,60653,41.81800217,-87.6018872,46.42,47th St. (Kenwood) Metra,1.06,13.74,10.93
3722 S HONORE ST chicago IL 60609,3722,S,HONORE,ST,60609,41.8263764,-87.6715029,36.72,35th/Archer,0.69,12.31,12.16
